"index","product_name","product_id","description"
"1","Women's adidas Originals Sleek Shoes","G27341","A modern take on adidas sport heritage, tailored just for women. Perforated 3-Stripes on the leather upper of these shoes offer a sleek look that mirrors iconic tennis styles."
"2","Women's adidas Swim Puka Slippers","CM0081","These adidas Puka slippers for women's come with slim straps for a great fit. Feature performance logo on the footbed and textured Rubber outsole that gives unique comfort."
"3","Women's adidas Sport Inspired Questar Ride Shoes","B44832","Inspired by modern tech runners, these women's shoes step out with unexpected style. They're built with a breathable knit upper, while the heel offers the extra support of an Achilles-hugging design. The cushioned midsole provides a soft landing with every stride."
"4","Women's adidas Originals Taekwondo Shoes","D98205","This design is inspired by vintage Taekwondo styles originally worn to perfect high kicks and rapid foot strikes. The canvas shoes make a streetwear fashion statement as a chic, foot-hugging slip-on. They're shaped for a narrow, women's-specific fit and ride on a soft gum rubber outsole."
"5","Women's adidas Sport Inspired Duramo Lite 2.0 Shoes","B75586","Refine your interval training in these women's versatile running-inspired shoes. Featuring a lightweight mesh and synthetic upper, they combine responsive midsole cushioning with a soft collar that reduces ankle pressure."
"6","Women's adidas Sport Inspired Duramo Lite 2.0 Shoes","CG4051","Refine your interval training in these women's versatile running-inspired shoes. Featuring a lightweight mesh and synthetic upper, they combine responsive midsole cushioning with a soft collar that reduces ankle pressure."
"7","Women's adidas Swim Puka Slippers","CM0080","These adidas Puka slippers for women's come with slim straps for a great fit. Feature performance logo on the footbed and textured Rubber outsole that gives unique comfort."
"8","WOMEN'S ADIDAS RUNNING DURAMO 9 SHOES","B75990","These women's neutral running shoes will get you on the road to your goals. A sandwich mesh upper offers lightweight breathability, while a seamless print overlay adds support for a stable stride. The midsole offers pillow-soft Cloudfoam cushioning that eases every stride."
"9","Men's adidas Originals Forest Grove Shoes","EE5761","The Forest Grove brings back the look of the adidas Oregon running design from the '80s. A favourite for marathon training, it had a distinctive look and feel with shock-absorbing cushioning and a web-wrapped midsole. These streetwear shoes echo the original look with a textured nubuck and mesh upper. A web overlay on the midsole adds authentic Oregon style."
"10","Women's adidas Originals Swift Run Shoes","EE4553","The Swift distills decades of adidas heritage running designs. Made for casual everyday wear, these lightweight knit shoes come with a sleek shape and a supportive yet flexible feel. They stand out with embroidered accents and smooth welded details. An EVA midsole adds all-day wearability."
"11","Women's adidas Originals Continental Vulc Shoes","EF9315","These low-profile shoes come in a pastel color for a feminine touch. A mix of nubuck and canvas on the upper adds texture. The suede toe cap is abrasion-resistant so they look fresh and new longer. A vulcanized outsole makes them durable."
"12","Women's adidas Running Duramo 9 Shoes","F35281","These women's neutral running shoes will get you on the road to your goals. A sandwich mesh upper offers lightweight breathability, while a seamless print overlay adds support for a stable stride. The midsole offers pillow-soft Cloudfoam cushioning that eases every stride."
"13","Women's adidas Originals Supercourt Shoes","EF9220","Forty years of court style, refined to the essentials. The clean, simple lines and supple leather upper of these shoes are a nod to tennis history. Iconic perforated 3-Stripes and a contrasting Trefoil heel tab give them a timeless look."
"14","Men's adidas Sport Inspired Response Trail Shoes","EG0000","When the road turns to trail, all that matters is what lies ahead. These running shoes deliver a plush ride and confident grip in a fresh, sporty look. Cloudfoam cushioning feels ultra-soft while the aggressive outsole grabs on in all directions. The multilayer upper and sleek 3-Stripes elevate your look when you get back to town."
"15","Women's adidas Running Cosmic 2 Shoes","B44889","These women's running shoes have a breathable mesh upper to keep your feet ventilated on your daily runs. The Cloudfoam midsole provides plush cushioning with every stride, and a high-wear outsole holds up over time."
"16","Women's adidas Sport Inspired Storm Runner Shoes","CL7417","A fast, lightweight adidas stormrunner shoes for women. These running-inspired shoes are very comfortable for your daily routine. Made with textile upper and Cloudfoam midsole along with rubber outsole these shoes will provide comfort to your feet all day long."
"17","Women's adidas Sport Inspired Quickspike Shoes","CL7408","These women's running-inspired shoes feature a breathable mesh upper with a comfort collar, while a moulded overlay provides lightweight support. The soft Cloudfoam cushioning in the one-piece midsole and outsole provides comfort that lasts all day long."
"18","WOMEN'S ADIDAS SWIM CLOUDFOAM FLIP FLOPS","B43601","A minimalist design with maximum post-workout comfort. These women's thong sandals feature a soft strap connected to a Cloudfoam footbed that cushions every step and dries quickly. A durable rubber outsole adds long-lasting wear."
"19","Women's adidas Sport Inspired Lite Racer Shoes","EE8245","Unstoppable style. These shoes borrow their lightweight look and feel from celebrated runners. The airy mesh upper has a clean finish with monochrome 3-Stripes. Plush cushioning helps keep the ride smooth."
"20","Women's adidas Running Duramo 9 Shoes","EE8042","These women's neutral running shoes will get you on the road to your goals. A sandwich mesh upper offers lightweight breathability, while a seamless print overlay adds support for a stable stride. The midsole offers pillow-soft Cloudfoam cushioning that eases every stride."
"21","Women's adidas Sport Inspired Arcadeis Shoes","CL7429","These women's running-inspired shoes cradle your feet with a net mesh upper. Pillow-soft Cloudfoam cushioning in the one-piece midsole and outsole provides comfort that lasts all day long."
"22","Women's adidas Sport Inspired Videll Shoes","CL7370","Extremely functional and subtle running-inspired shoes for women. Feature a textile-mesh upper and synthetic overlays. EVA cushioning adds extra comfort. The running 3-Stripes on the sides along with an interesting all-over print on the upper add to it's appeal."
"23","Women's adidas Running EnergyFalcon X Shoes","EE9946","When you dig deep to reach your goals, these running shoes offer the support and stability you need. Every step feels pillow-soft with plush cushioning and an OrthoLiteÂ® sockliner for comfort. A flowing TPU heel counter and thin support cage keep the foot centred and stable. The durable outsole is made for logging many miles."
"24","Women's adidas Sport Inspired Videll Shoes","CK9741","Extremely functional and subtle running-inspired shoes for women. Feature a textile mesh upper and synthetic overlays. EVA cushioning adds extra comfort. The running 3-Stripes on the sides along with an interesting all-over print on the upper add to it's appeal."
"25","Women's adidas Running Hellion Z Shoes","CL7363","Great everyday trainer for the runner in you to go that extra mile. The adidas Hellion Z shoes comes with mesh upper for providing lightweight and breathability to your feet."
"26","Women's adidas Sport Inspired Videll Shoes","CL7372","Extremely functional and subtle running-inspired shoes for women. Feature a textile-mesh upper and synthetic overlays. EVA cushioning adds extra comfort. The running 3-Stripes on the sides along with an interesting all-over print on the upper add to it's appeal."
"27","Women's adidas Sport Inspired Arcadeis Shoes","CL7430","These women's running-inspired shoes cradle your feet with a net mesh upper. Pillow-soft Cloudfoam cushioning in the one-piece midsole and outsole provides comfort that lasts all day long."
"28","Women's adidas Sport Inspired Cloudfoam Pure Shoes","F34485","These women's running-inspired shoes cradle your feet with a mesh upper and a Memory Foam footbed that conforms to the shape of your foot. Pillow-soft Cloudfoam cushioning in the one-piece midsole and outsole provides comfort that lasts all day long."
"29","Women's adidas Running Hellion Z Shoes","CL7365","The adidas Hellion Z Running shoes for women with new design pattern for any runner looking for trendy yet extremely comfortable running shoe. An excellent combination of breathable Mesh with synthetic overlays on the upper makes it very comfortable for your feet on the run. Durable, non slippery, blown out one piece super grip EVA midsole and Rubber outsole ensures maximum stability and grip on the ground."
"30","Women's adidas Sport Inspired Yking 2.0 Shoes","CL7373","These lightweight running-inspired shoes for women give all round comfort, cushioning, durability & support in a simplistic design. The mesh upper ensure breathability and durability. Lightstrike EVA midsole gives you cushioning you need everyday and Rubber outsole provides durability."
"31","Women's adidas Running Hellion Z Shoes","CL7364","The adidas Hellion Z Running shoes for women with new design pattern for any runner looking for trendy yet extremely comfortable running shoe. An excellent combination of breathable Mesh with synthetic overlays on the upper makes it very comfortable for your feet on the run. Durable, non slippery, blown out one piece super grip EVA midsole and Rubber outsole ensures maximum stability and grip on the ground."
"32","Women's adidas Sport Inspired Yking 2.0 Shoes","CL7374","These lightweight running-inspired shoes for women give all round comfort, cushioning, durability & support in a simplistic design. The mesh upper ensure breathability and durability. Lightstrike EVA midsole gives you cushioning you need everyday and Rubber outsole provides durability."
"33","Women's adidas Sport Inspired RunFalcon Shoes","EE8167","Start clocking miles in these lightweight running shoes. On the treadmill or the streets, they add comfort to each step with soft cushioning. The supportive trainers have an airy material-mix upper and a midfoot cage for extra support."
